Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:45:31.343417,48.24574661,77.2641449,-240.4366455,42.72618866,0,0,0,0,0,0,"
",,,,,
 14:45:32.436105,48.22381592,77.30995178,-240.4144592,41.68295288,0,0,0,0,0,0,"
",,,,,
 14:45:33.502879,48.15802765,77.3328476,-240.8362579,42.81892014,0,0,0,0,0,0,"
",,,,,
 14:45:34.586176,48.09223557,77.26415253,-240.6586609,42.91165161,0,0,0,0,0,0,"
",,,,,
 14:45:35.675480,48.00452042,77.28705597,-240.4366455,42.00751495,0,0,0,0,0,0,"
",,,,,
 14:45:36.754711,48.0045166,77.19545746,-240.5254669,43.05075073,0,0,0,0,0,0,"
",,,,,
 14:45:37.833497,48.02645111,77.30995178,-240.1924591,42.21616364,0,0,0,0,0,0,"
",,,,,
 14:45:38.914302,48.17996216,77.17256165,-240.1702423,43.07393265,0,0,0,0,0,0,"
",,,,,
 14:45:39.986409,48.07030487,77.24125671,-239.99263,42.33208084,0,0,0,0,0,0,"
",,,,,
 14:45:41.72398,48.13609695,77.37865448,-240.1702423,43.39849091,0,0,0,0,0,0,"
",,,,,
 14:45:42.144546,48.11416626,77.4931488,-239.99263,42.28570938,0,0,0,0,0,0,"
",,,,,
 14:45:43.232628,48.15802765,77.3328476,-240.1702118,43.23621368,0,0,0,0,0,0,"
",,,,,
 14:45:44.312349,48.09223557,77.21835327,-240.1036377,41.98433304,0,0,0,0,0,0,"
",,,,,
 14:45:45.392600,48.09223938,77.21835327,-240.3478546,42.74937058,0,0,0,0,0,0,"
",,,,,
 14:45:46.467885,48.11416626,77.05805969,-240.1924286,41.4743042,0,0,0,0,0,0,"
",,,,,
 14:45:47.542995,48.20188522,76.87485504,-240.3700409,41.28884506,0,0,0,0,0,0,"
",,,,,
 14:45:48.623884,48.31153488,76.89775085,-240.5254364,42.49435806,0,0,0,0,0,0,"
",,,,,
 14:45:49.713976,48.24574661,76.76035309,-240.3256378,41.26566315,0,0,0,0,0,0,"
",,,,,
 14:45:50.788937,48.22381973,76.76036072,-240.5254364,42.35526276,0,0,0,0,0,0,"
",,,,,
 14:45:51.872801,48.11417389,77.30995178,-240.2590332,41.59022141,0,0,0,0,0,0,"
",,,,,
 14:45:52.945384,48.17995453,77.5618515,-240.3034363,42.91165161,0,0,0,0,0,0,"
",,,,,
 14:45:54.27373,47.89486694,77.81375122,-240.2368469,42.12343216,0,0,0,0,0,0,"
",,,,,
 14:45:55.102848,48.0045166,78.01985168,-240.5254364,43.44485855,0,0,0,0,0,0,"
",,,,,
 14:45:56.193209,47.89486694,78.22594452,-240.3478546,42.58708954,0,0,0,0,0,0,"
",,,,,
 14:45:57.258552,48.04837799,77.85955811,-240.4588623,43.58395386,0,0,0,0,0,0,"
",,,,,
 14:45:58.345511,49.95627594,78.08854675,-244.3884277,42.58708572,0,0,0,0,0,0,"
",,,,,
 14:45:59.419652,54.60541534,77.99694824,-252.2031708,43.18984222,0,0,0,0,0,0,"
",,,,,
 14:46:0.507206,55.52647018,78.06565094,-253.7350311,42.00751495,0,0,0,0,0,0,"
",,,,,
 14:46:1.589952,55.41682053,78.0427475,-253.7128448,42.03069305,0,0,0,0,0,0,"
",,,,,
 14:46:2.668184,53.48698807,77.65345764,-249.8276825,42.79573441,0,0,0,0,0,0,"
",,,,,
 14:46:3.746486,48.90364456,77.60765076,-242.0129089,42.07706451,0,0,0,0,0,0,"
",,,,,
 14:46:4.831490,47.96065903,77.47025299,-240.4810486,43.37530899,0,0,0,0,0,0,"
",,,,,
 14:46:5.902873,47.85100555,77.58475494,-240.4366455,42.16979218,0,0,0,0,0,0,"
",,,,,
 14:46:6.981422,48.0264473,77.26415253,-240.5698547,42.95801926,0,0,0,0,0,0,"
",,,,,
 14:46:8.64394,47.87293625,74.35587311,-240.5254669,45.80952072,0,0,0,0,0,0,"
",,,,,
 14:46:9.150073,47.91679764,65.81422424,-240.6808624,54.9204216,0,0,0,0,0,0,"
",,,,,
 14:46:10.231182,47.76328659,57.20386887,-240.5254669,61.57393265,0,0,0,0,0,0,"
",,,,,
 14:46:11.301850,47.93872833,48.79962158,-240.5698547,70.77757263,0,0,0,0,0,0,"
",,,,,
