Time,200-A-Real,200-B-Real,200-C-Real,200-A-Reactive,200-B-Reactive,200-C-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
Time,Refrigerator Real,Microwave-Real,Phone charger Real,Refrigerator Reactive,Microwave-Reactive,Phone charger Reactive,Dishwasher-Real,Disposal-Real,Laptop Charging-Real,Dishwasher-Reactive,Disposal-Reactive,Laptop Charging -Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 15:31:28.819240,"
",,,,,,,,,,,,,,,,,
 15:31:29.898527,83.76647186,0,0,0,0,-0.377295971,0,0,0,0,0,0,"
",,,,,
 15:31:30.980807,83.74546814,0,0,0,0,-0.377295971,0,0,0,0,0,0,"
",,,,,
 15:31:32.61927,83.68245697,0,0,0,0,-0.377295971,0,0,0,0,0,0,"
",,,,,
 15:31:33.147270,83.66145325,0,0,0,0,-0.250822127,0,0,0,0,0,0,"
",,,,,
 15:31:34.235321,83.68245697,0,0,0,0,-0.264107168,0,0,0,0,0,0,"
",,,,,
 15:31:35.315296,83.57743073,0,0,0,0,-0.134444892,0,0,0,0,0,0,"
",,,,,
 15:31:36.407015,83.57743073,0,0,0,0,-0.269952595,0,0,0,0,0,0,"
",,,,,
 15:31:37.487047,83.34638214,0,0,0,0,-0.404397488,0,0,0,0,0,0,"
",,,,,
 15:31:38.561448,83.17835236,0,0,0,0,-0.269952595,0,0,0,0,0,0,"
",,,,,
 15:31:39.645718,83.11533356,0,0,0,0,-0.410242945,0,0,0,0,0,0,"
",,,,,
 15:31:40.737828,83.01030731,0,0,0,0,-0.274735212,0,0,0,0,0,0,"
",,,,,
 15:31:41.824179,83.0943222,0,0,0,0,-0.420339584,0,0,10.04252911,0,0,-2.755348682,"
",,,,,
 15:31:42.900917,83.0943222,0,0,0,0,-0.285894692,0,0,17.80771446,0,0,-6.50037384,"
",,,,,
 15:31:43.982443,83.17832947,0,0,0,0,-0.431499004,0,0,27.82802773,0,0,-9.356939316,"
",,,,,
 15:31:45.72367,83.32537842,0,0,0,0,-0.291208684,0,0,35.71541214,0,0,-12.86579132,"
",,,,,
 15:31:46.151790,83.38838196,0,0,0,0,-0.441595644,0,0,45.48021698,0,0,-15.90229797,"
",,,,,
 15:31:47.236712,83.51441956,0,0,0,0,-0.295991331,0,0,43.38061523,0,0,-16.52084732,"
",,,,,
 15:31:48.322656,83.70345306,0,0,0,0,-0.453817934,0,0,45.41356277,0,0,-15.82357311,"
",,,,,
